Review,Cleaned_review
"✅Trip Verified|   This was a short flight from Vancouver to Calgary in economy. Everything went well in terms of service, cabin crew friendliness, and cleanliness. I've flown on the MAX several times and it's one of the fleets newer and nicer planes.",short flight vancouv calgari economi everyth went well term servic cabin crew friendli cleanli flown max sever time one fleet newer nicer plane
"✅Trip Verified|   Excellent service on this flight. This was a return flight to Calgary from Montreal, both ways flown in domestic widebody business class (pods). Typically I've flown in B787 pods, but the 777 pods were just as good. The crew was very attentive, and the food was up to the usual high standards, with multi-course meals and ample beverage/alcohol selection. Looking forward to my next flight!",excel servic flight return flight calgari montreal way flown domest widebodi busi class pod typic flown b pod pod good crew attent food usual high standard multi cours meal ampl beverag alcohol select look forward next flight
"✅Trip Verified|   Excellent service on this flight. This was a return flight to Calgary from Montreal, both ways flown in domestic widebody business class (pods). Typically I've flown in B787 pods, but the 777 pods were just as good. The crew was very attentive, and the food was up to the usual high standards, with multi-course meals and ample beverage/alcohol selection. Looking forward to my next flight. Remarks on readings: generally if it's at or above expectations I've given full marks. For Value For Money I've given 4 just because business is inherently pricey, so passengers need to decide if they feel that it's worth it. For Wi-Fi and Connectivity I put N/A because I did not use it.",excel servic flight return flight calgari montreal way flown domest widebodi busi class pod typic flown b pod pod good crew attent food usual high standard multi cours meal ampl beverag alcohol select look forward next flight remark read gener expect given full mark valu money given busi inher pricey passeng need decid feel worth wi fi connect put n use
✅Trip Verified|   A very regular occurrence of packing everyone in to the plane with no working air conditioning and sitting on the runway in overheating plane. Happens far too often.,regular occurr pack everyon plane work air condit sit runway overh plane happen far often
"✅Trip Verified|  I was highly disappointed with this airline.  When first arriving at the airport the woman checking in our bags were not friendly at all. The food on our 10 hour flight to Greece was horrible, the staff seemed irritated when I asked for a glass of ice and a can of coke (they would have preferred to give me 2 ice cubes and half a can of coke). Upon arriving to our destination I discovered that things were missing from my checked luggage.  Trying to call and make a complaint was a joke. Never was I routed to an actual person to speak with. I would never recommend this airline.",highli disappoint airlin first arriv airport woman check bag friendli food hour flight greec horribl staff seem irrit ask glass ice coke would prefer give ice cube half coke upon arriv destin discov thing miss check luggag tri call make complaint joke never rout actual person speak would never recommend airlin
"Not Verified|   I don’t usually write reviews, but I had to share this one experience about a flight attendant. was traveling with my grandma, who’s really scared of flying. Mid-flight, she started to get really anxious and I tried calming her down and one flight attendant I think her name was Angie she had saw and when she noticed she came right over to help. She sat with my grandma for a few minutes and held her hand, and talked to her and me and asked if we had any plans in Austin or if we were visiting other family. After she had continued her duties. She even checked on my grandma during the flight to make sure she had enough water too even though there was many other passengers to attend too as well. It’s nice seeing some flight attendants be very caring and attentive and glad she works for that airline.",usual write review share one experi flight attend travel grandma realli scare fli mid flight start get realli anxiou tri calm one flight attend think name angi saw notic came right help sat grandma minut held hand talk ask plan austin visit famili continu duti even check grandma flight make sure enough water even though mani passeng attend well nice see flight attend care attent glad work airlin
"Not Verified|   I fly Air Canada within North America 1-2 times a month and international few times a year. I’ve always found their service mediocre but recently while flying business on an international flight, I spilt coffee on my lap and seat. I went to find someone for some towels. Not only did they give a paper towel, they never came by to check up. I had to go back few times to ask for some more. I don’t expect them to clean up for me nor have incredible service. It felt no different than me spilling a drink at McDonald’s and cleaning it up after myself.",verifi fli air canada within north america time month intern time year alway found servic mediocr recent fli busi intern flight spilt coffe lap seat went find someon towel give paper towel never came check go back time ask expect clean incred servic felt differ spill drink mcdonald clean
"Not Verified|   I have been a loyal customer of Air Canada for many years, specifically during the 13 years from 2008 when my job required frequent travel. Whenever possible, I chose Air Canada for my journeys. However, I have observed a decline in the quality of service. Regrettably, I have noticed that the attentiveness and politeness of the flight attendants have diminished. In comparison to other airlines I have traveled with, such as Qatar Airways, Lufthansa, KLM, Turkish Airlines, Korean Air, British Airways, and various American carriers, Air Canada's service has not been up to par. My recent experience with Lufthansa was particularly pleasant; the crew treated passengers with genuine smiles and excellent service. In contrast, Air Canada's flight attendants display a demeanor that suggests they view themselves as victims, and this attitude unfortunately affects their interactions with passengers. For instance, during a recent flight, there was turbulence, and the captain announced that hot beverages would not be served due to safety concerns, and the seatbelt sign was illuminated. When the seatbelt sign was later turned off, a flight attendant approached to offer drinks. I mentioned that I would like a coffee but was aware that hot beverages were not being served due to the turbulence. Instead of a polite clarification, the attendant responded with, ""Can't you see the seatbelt light came off?"" Her words were laced with sarcasm, which I found quite unpleasant. As a result of these experiences, I have decided to choose other airlines for my future travels. My wife and I will be traveling to Europe this October, and we have chosen not to fly with Air Canada. I hope this feedback is taken into consideration to improve the service quality and customer experience.",loyal custom air canada mani year specif year job requir frequent travel whenev possibl chose air canada journey howev observ declin qualiti servic regrett notic attent polit flight attend diminish comparison airlin travel qatar airway lufthansa klm turkish airlin korean air british airway variou american carrier air canada servic par recent experi lufthansa particularli pleasant crew treat passeng genuin smile excel servic contrast air canada flight attend display demeanor suggest view victim attitud unfortun affect interact passeng instanc recent flight turbul captain announc hot beverag would serv due safeti concern seatbelt sign illumin seatbelt sign later turn flight attend approach offer drink mention would like coffe awar hot beverag serv due turbul instead polit clarif attend respond see seatbelt light came word lace sarcasm found quit unpleas result experi decid choos airlin futur travel wife travel europ octob chosen fli air canada hope feedback taken consider improv servic qualiti custom experi
"✅Trip Verified| Air Canada turned out to be a good flying experience for the first time because of its comfortable seating, friendly and courteous cabin crew and staff, and impressive in-flight entertainment options, which exceeded expectations and made for a pleasant journey.",air canada turn good fli experi first time comfort seat friendli courteou cabin crew staff impress flight entertain option exceed expect made pleasant journey
"Not Verified|   I had an issue with my passport but the staff of Air Canada were very friendly, helpful and very nice, solved my problem and helped me a lot. I am grateful.",issu passport staff air canada friendli help nice solv problem help lot grate
"Not Verified|   Our flight was canceled, fine. But the service afterwards was awful. From being told one thing by the floor manager. To then having the rudest treated by the customer service representative at the Maple Leaf Lounge. She was rude and obnoxious, talking on the phone about us while serving other customers. We actually did not use the Maple Leaf Lounge due to her treatment. The whole experience has been awful.",flight cancel fine servic afterward aw told one thing floor manag rudest treat custom servic repres mapl leaf loung rude obnoxi talk phone us serv custom actual use mapl leaf loung due treatment whole experi aw
"Not Verified| I am beyond disappointed with Air Canada. A delayed flight caused us to miss our connection, and to make matters worse, they booked us on a Delta flight, falsely claiming our seats were confirmed. We discovered at 6 am in the airport that they were not, leaving us unable to check in and get home. After numerous calls with unhelpful and discourteous agents, we were finally rebooked on an 11 am flight, arriving home 13 hours late. This was an infuriating and unacceptable experience. Avoid Air Canada at all costs.",beyond disappoint air canada delay flight caus us miss connect make matter wors book us delta flight fals claim seat confirm discov airport leav us unabl check get home numer call unhelp discourt agent final rebook flight arriv home hour late infuri unaccept experi avoid air canada cost
"Not Verified| Terrible terrible airline. Not only was I 8 hours late to my destination, but the Air Canada staff refused to help me. One of them walked away from me while I was speaking to them and their customer service literally hung up on me. I received NO compensation because they lied about the reason for the delay.",terribl terribl airlin hour late destin air canada staff refus help one walk away speak custom servic liter hung receiv compens lie reason delay
"Not Verified|   While on a group school trip I was stuck on a plane on the runway at the Philadelphia airport after 45 minutes the pilot announced that the aircraft was running low on fuel and we needed to turn around to refuel then we were informed that the plane had a mechanical issue that couldn’t be fixed and we had to unboard. After a lengthy process we got another plane hours later and finally made it to Canada where we expected to get on a connecting flight to London. This flight however got cancelled and we had to get another one. This was not the end of the nightmares, when we finished packing to come home to the US we discovered our flight home was also cancelled.",group school trip stuck plane runway philadelphia airport minut pilot announc aircraft run low fuel need turn around refuel inform plane mechan issu fix unboard lengthi process got anoth plane hour later final made canada expect get connect flight london flight howev got cancel get anoth one end nightmar finish pack come home us discov flight home also cancel
"Not Verified| Massive delay at departure lost our connecting flight and then could not find an alternate route to make up the difference. They are understaffed and disorganized, poor communication to their passengers. I dont know why we booked with AC this time, we had avoided them like the plague and ended up losing our car rental and 2 days off our trip to Lisbon. We had to re book with TAP the next day so we could get to portugal Anyways it was a fresh reminder why we dont use AC anymore.",massiv delay departur lost connect flight could find altern rout make differ understaf disorgan poor commun passeng dont know book ac time avoid like plagu end lose car rental day trip lisbon book tap next day could get portug anyway fresh remind dont use ac anymor
"✅Trip Verified|  We generally have preferred flying with Air Canada in the past but had just flown to and from Europe on Icelandair. We then flew home from Toronto to Vancouver on Air Canada. We were seated in an exit row just behind Premium Economy. By comparison with Icelandair, the cabin felt old, dark and smelled musty. The stewards seemed unorganized, did not say anything to us about the exit row protocol and took up to half hour to respond to the call button. The snacks were dry-as-sawdust pretzels, and the beer was warm. The headphone plugs did not work and the fold-up monitor would not rise up to be seen from my seat. It was only when comparing the flight and service to Icelandair did we realize how poorly Air Canada is performing. Very disappointed and will think twice about flying Air Canada in future.",gener prefer fli air canada past flown europ icelandair flew home toronto vancouv air canada seat exit row behind premium economi comparison icelandair cabin felt old dark smell musti steward seem unorgan say anyth us exit row protocol took half hour respond call button snack dri sawdust pretzel beer warm headphon plug work fold monitor would rise seen seat compar flight servic icelandair realiz poorli air canada perform disappoint think twice fli air canada futur
"✅Trip Verified|   I would like to place a complaint for a flight delay of Air Canada YXJ to YVR and YVR to YZP. I had a flight June 28 supposed to be at 10:20am but the flight delayed from Fort St. John to Vancouver so i missed my connecting flight to Sandspit but the airline refused to give me any compensation for all the hassle because according to them it is not their fault, (air traffic) and the earliest fight they give me will be on June 30 and they refused to give hotel accommodation or even meal vouchers. They keep on offering to go to Terrace or Smithers which is way far away to my destination. They did told me to book a hotel and place a complaint for reimbursement but there is no guarantee of reimbursement. So i have no choice but to stay here in the airport the whole day and night to wait for another flight. The 2 supervisors didn’t explain whats going on and instead they just left me and the ground crew to explain everything. Even the manager didn’t care.",trip verifi would like place complaint flight delay air canada yxj yvr yvr yzp flight june suppos flight delay fort st john vancouv miss connect flight sandspit airlin refus give compens hassl accord fault air traffic earliest fight give june refus give hotel accommod even meal voucher keep offer go terrac smither way far away destin told book hotel place complaint reimburs guarante reimburs choic stay airport whole day night wait anoth flight supervisor explain what go instead left ground crew explain everyth even manag care
"✅Trip Verified|  My flight on 6/20/2024 from Osaka to Dulles via Toronto, got delayed a few times then cancelled and I got stuck in Toronto for 1 day. I couldn't get hold any customer service by phone or in the airport to give me clear and detailed explanation. They finally rebooked me to different routes back to USA, delayed a few times again, changed gates a few times and final destination to Baltimore instead of VA, so I had to pay extra for uber to VA. In addition, 2 of 5 my checked baggage was lost. They replied to my claim that I am not eligible to receive any compensation because ""This flight was delayed due to unforeseen maintenance that does not include scheduled maintenance or mechanical problems identified during scheduled maintenance."" My first and last time fly with Air Canada.",flight osaka dull via toronto got delay time cancel got stuck toronto day get hold custom servic phone airport give clear detail explan final rebook differ rout back usa delay time chang gate time final destin baltimor instead va pay extra uber va addit check baggag lost repli claim elig receiv compens flight delay due unforeseen mainten includ schedul mainten mechan problem identifi schedul mainten first last time fli air canada
"✅Trip Verified|  Their system crashed May 23, we stood in line for 2 hr and the plane still left us because they couldn’t check our bags. We missed two days of hotel rooms we paid for in London, we paid to go to the airport and charged for extras bags, they took weeks to take the claims and then refused to reimburse our funds to all the things they made us miss. Their staff keeps hanging up the phones. I would never fly air Canada again. Then coming back to America they lost three of our bags..",system crash may stood line hr plane still left us check bag miss two day hotel room paid london paid go airport charg extra bag took week take claim refus reimburs fund thing made us miss staff keep hang phone would never fli air canada come back america lost three bag
"✅Trip Verified|  Air Canada cancelled my flight with less than 10 hours notice by text saying ""due to weather"". This cancellation caused me to miss all my connecting flights to a trip to Peru which cost me over $3000 to rebook on the day of all my missed flights. Cancellation due to weather was a lie as the communications line to Whitehorse had been severed and therefore, they cancelled the flight because they could not access their systems (can prove this with news stories). This was confirmed by Air Canada Employees at the airport when half of the plane showed up to check in at 3 AM. However, since they had used weather as the cause for cancellation they would not help me cover any of my rebooking costs as they say that they can't control the weather. What's even worse is that they are allowed to change the initial reason for cancelling the flight to something other than weather (like no access to their systems) but because the initial reasoning was weather, they can still avoid responsibility and doing the right thing. Air North was fantastic and was the only reason I was able to make it to Vancouver to rebook my entire trip. This is an awful company that has no compassion, empathy or decent corporate morals.",air canada cancel flight less hour notic text say due weather cancel caus miss connect flight trip peru cost rebook day miss flight cancel due weather lie commun line whitehors sever therefor cancel flight could access system prove news stori confirm air canada employe airport half plane show check howev sinc use weather caus cancel would help cover rebook cost say control weather even wors allow chang initi reason cancel flight someth weather like access system initi reason weather still avoid respons right thing air north fantast reason abl make vancouv rebook entir trip aw compani compass empathi decent corpor moral
"Not Verified| Do NOT fly with Air Canada. They damaged my luggage, had mechanical problems, more than one plane was late, unprofessional flight staff, and gave us the worst flight experience of our lives, and we had business class seats! Food was terrible. I mean TERRIBLE! And they changed our business class seats after we chose them and booked without notice! After all of this, they wouldn't even compensate us with the minimum, a free upgrade to business class on our next flight. Terrible customer service.",fli air canada damag luggag mechan problem one plane late unprofession flight staff gave us worst flight experi live busi class seat food terribl mean terribl chang busi class seat chose book without notic even compens us minimum free upgrad busi class next flight terribl custom servic
"✅Trip Verified|  I could not believe how well I was treated on this flight. There was a flight attendant named Tina who went out of her way to make me feel welcome and comfortable. I have had great service in first and business class over the years, but this was the first time a flight attendant treated me so well while I was in economy. It's a long flight from Singapore to Vancouver, and I feel very lucky that Tina was there. I don't know what Air Canada does to reward service above and beyond the call of duty, but I hope that Tina is appreciated.",could believ well treat flight flight attend name tina went way make feel welcom comfort great servic first busi class year first time flight attend treat well economi long flight singapor vancouv feel lucki tina know air canada reward servic beyond call duti hope tina appreci
"Not Verified|   We were pleasantly surprised with how helpful the Air Canada customer service desk was. We missed our flight due to a change in gates that we didn’t pay attention to, and with two young kids in tow we were almost in tears. Thankfully, the Air Canada customer rep was able to put us on the next flight, no questions asked. We are so thankful! While it’s true that AC has many delays/cancellations, relatively speaking they are still one of the most reliable airlines around.",pleasantli surpris help air canada custom servic desk miss flight due chang gate pay attent two young kid tow almost tear thank air canada custom rep abl put us next flight question ask thank true ac mani delay cancel rel speak still one reliabl airlin around
"✅Trip Verified|  3 delays, left 2 hours and 15 mins late. Tried to bump me and a guest back 12 rows for a stand by. This is the 4th flight I have taken with Air Canada this week, the last 3 were in business class. My flight on Monday was cancelled at the last second and the replacement flight got myself and 7 guests into San Francisco 9 hours late. This airline is always late always cancelling flights. Absolutely horrible.",delay left hour min late tri bump guest back row stand th flight taken air canada week last busi class flight monday cancel last second replac flight got guest san francisco hour late airlin alway late alway cancel flight absolut horribl
"✅Trip Verified|  Due to flight cancelation (notified via phone 2 hours before boarding), we were placed on the next flight. No other airlines/flights were available. This caused us to miss a connecting flight. Our only way to get home was to reschedule connection flight to the next day ($350), get a hotel room for the night ($250), eat out for three more meals than planned ($$), and extend our car parking at our destination ($50). The only thing we got from them was ""well, we are not partnered with your connection""",due flight cancel notifi via phone hour board place next flight airlin flight avail caus us miss connect flight way get home reschedul connect flight next day get hotel room night eat three meal plan extend car park destin thing got well partner connect
"✅Trip Verified| I recently paid $5700 for a flight which was business class outbound and only premium economy return YVR-HKG. On the business portion from YVR-HKG the entertainment system and screen malfunctioned including constantly turning on in a dark cabin while most were trying to sleep. I book business class for 3 reasons, comfort of seat, entertainment value, and meal/in-flight service. When one of these 3 services is not provided then I am no longer satisfied with the fees I paid for this class of travel. The Head-purser tried to reset a number of times then 2 flight attendants spent all kinds of time taping 2 cushions to the screen. My return flight in Premium was no better. Although I had paid $5700 for my flight and the passenger next to me $6000 for his round-trip YVR-HKG in Premium both of us were informed early on we wouldn't have a choice of meals as the Vegetarian was the only option left. While I have experienced this same problem a few years back on Air Canada I really can't believe this airline can't put enough meals on board to offer the selection they advertise. Unlike business, there was no option days before to select the meal you want and alleviate this entire issue. They absolutely treat this class (Premium) like standard economy although they now charge a multiplier of 3-3.5 times the standard economy cost. Wake up Air Canada! In the end I was offered $150 credit for my troubles and after going back to them again and again they have refused to show more compassion. With the offer of a $150 coupon they are basically suggesting I would have paid for this business class travel @ a price of $5700 with an offer of ""minus $150"" but no entertainment service. Would anyone book that class of travel if they were told of this full ticket price minus $150 because you will not be providing any entertainment? In addition to the absence of entertainment my comfort was significantly disrupted because of a screen turning on frequently with full brightness in a darkened (resting) cabin. Think about other airlines who care if they can't meet normal expectations when you consider your next Booking!",recent paid flight busi class outbound premium economi return yvr hkg busi portion yvr hkg entertain system screen malfunct includ constantli turn dark cabin tri sleep book busi class reason comfort seat entertain valu meal flight servic one servic provid longer satisfi fee paid class travel head purser tri reset number time flight attend spent kind time tape cushion screen return flight premium better although paid flight passeng next round trip yvr hkg premium us inform earli choic meal vegetarian option left experienc problem year back air canada realli believ airlin put enough meal board offer select advertis unlik busi option day select meal want allevi entir issu absolut treat class premium like standard economi although charg multipli time standard economi cost wake air canada end offer credit troubl go back refus show compass offer coupon basic suggest would paid busi class travel price offer minu entertain servic would anyon book class travel told full ticket price minu provid entertain addit absenc entertain comfort significantli disrupt screen turn frequent full bright darken rest cabin think airlin care meet normal expect consid next book
"Not Verified| Regarding this airline's choice of aircraft - the Vancouver to Honolulu route is serviced by 737 Max aircraft. TAKE ANOTHER AIRLINE. 5 1/2 hours, single aisle, with 2, COUNT THEM, two toilets at the back. FOR ONE HUNDRED AND FIFTY PEOPLE. The other 20 people get to use the 1 toilet at the front. The crew will stop you from using it, if you are in economy. Just TRY getting to one when the cabin crew are serving snacks. Then later, drinks. Then a meal. If you are desperate, YOU ARE TRAPPED. It is a long, long way on a single aisle aircraft. WRONG TYPE for this route. Never again,",regard airlin choic aircraft vancouv honolulu rout servic max aircraft take anoth airlin hour singl aisl count two toilet back one hundr fifti peopl peopl get use toilet front crew stop use economi tri get one cabin crew serv snack later drink meal desper trap long long way singl aisl aircraft wrong type rout never
